	revid	timestamp	user	comment	is_redirect	page_title	page_namespace	page_text
0	458759075.0	2011-11-03T04:42:22Z	Hodgdon's secret garden	9–9–9 plan	True	"""9-9-9"" plan"	0.0	#redirect[[9–9–9_Plan]]
0	458759075.0	2011-11-03T04:42:22Z	Hodgdon's secret garden	9–9–9 plan	True	"""A"" - You're Adorable"	0.0	#REDIRECT [['A' You're Adorable]]
0	490413426.0	2012-05-03T04:28:55Z	DASHBot	"DASHBot moved page [[""A,"" My Name is Alex - Parts I & II]] to [[""A,"" My Name is Alex – Parts I & II]]: [[WP:BOT|BOT]]: Moving page per [[WP:HYPHEN]]. [[User:DASHBot/move|admin shutoff]]"	True	"""A,"" My Name is Alex - Parts I & II"	0.0	#REDIRECT [[A, My Name is Alex – Parts I & II]] {{R from modification}}
0	490413426.0	2012-05-03T04:28:55Z	DASHBot	"DASHBot moved page [[""A,"" My Name is Alex - Parts I & II]] to [[""A,"" My Name is Alex – Parts I & II]]: [[WP:BOT|BOT]]: Moving page per [[WP:HYPHEN]]. [[User:DASHBot/move|admin shutoff]]"	True	"""Abd el-Gilil"	0.0	"#REDIRECT [[Abd El Gilil]]
{{R from title without diacritics}}"
0	490413426.0	2012-05-03T04:28:55Z	DASHBot	"DASHBot moved page [[""A,"" My Name is Alex - Parts I & II]] to [[""A,"" My Name is Alex – Parts I & II]]: [[WP:BOT|BOT]]: Moving page per [[WP:HYPHEN]]. [[User:DASHBot/move|admin shutoff]]"	True	"""Abd el-Gilîl"	0.0	#REDIRECT [[Abd El Gilil]] {{R from modification}}
0	490413426.0	2012-05-03T04:28:55Z	DASHBot	"DASHBot moved page [[""A,"" My Name is Alex - Parts I & II]] to [[""A,"" My Name is Alex – Parts I & II]]: [[WP:BOT|BOT]]: Moving page per [[WP:HYPHEN]]. [[User:DASHBot/move|admin shutoff]]"	True	"""All-in"" professional wrestling"	0.0	#REDIRECT [[All-in professional wrestling]] {{R from modification}}
0	490413426.0	2012-05-03T04:28:55Z	DASHBot	"DASHBot moved page [[""A,"" My Name is Alex - Parts I & II]] to [[""A,"" My Name is Alex – Parts I & II]]: [[WP:BOT|BOT]]: Moving page per [[WP:HYPHEN]]. [[User:DASHBot/move|admin shutoff]]"	True	"""All-in"" wrestling"	0.0	#REDIRECT [[All-in professional wrestling]]
0	490413426.0	2012-05-03T04:28:55Z	DASHBot	"DASHBot moved page [[""A,"" My Name is Alex - Parts I & II]] to [[""A,"" My Name is Alex – Parts I & II]]: [[WP:BOT|BOT]]: Moving page per [[WP:HYPHEN]]. [[User:DASHBot/move|admin shutoff]]"	True	"""All You Zombies--"""	0.0	#REDIRECT [[All You Zombies]] {{R from title without diacritics}}
0	490413426.0	2012-05-03T04:28:55Z	DASHBot	"DASHBot moved page [[""A,"" My Name is Alex - Parts I & II]] to [[""A,"" My Name is Alex – Parts I & II]]: [[WP:BOT|BOT]]: Moving page per [[WP:HYPHEN]]. [[User:DASHBot/move|admin shutoff]]"	True	"""Anonymous"" anti-Scientology protests"	0.0	#REDIRECT [[Project Chanology]]
0	547260894.0	2013-03-27T13:38:50Z	Figaro	added titles	True	"""B"" plays - ISIRTA"	0.0	#REDIRECT [[ISIRTA plays, A-C]]
0	547260894.0	2013-03-27T13:38:50Z	Figaro	added titles	True	"""B"" plays - ISIRTA Plays"	0.0	#REDIRECT [[ISIRTA plays, A-C]]
0	547260894.0	2013-03-27T13:38:50Z	Figaro	added titles	True	"""B-Stupid"""	0.0	#redirect [[Ivory Harris]]
0	547260894.0	2013-03-27T13:38:50Z	Figaro	added titles	True	"""C"" plays - ISIRTA"	0.0	#REDIRECT [[ISIRTA plays, A-C]]
0	547260894.0	2013-03-27T13:38:50Z	Figaro	added titles	True	"""C.Y."" Leung Chun-ying"	0.0	#REDIRECT [[Leung Chun-ying]]
0	547260894.0	2013-03-27T13:38:50Z	Figaro	added titles	True	"""Celine"" - Live in Las Vegas"	0.0	#REDIRECT [[Celine (residency show)]]
