year, title, yearly_views2015	Deaths in January 2015	96369
2015	Deaths in February 2015	34905
2015	Deaths in March 2015	35931
2015	Deaths in April 2015	47269
2015	Deaths in May 2015	46282
2015	Deaths in June 2015	91460
2015	Deaths in July 2015	143096
2015	Deaths in August 2015	132414
2015	Deaths in September 2015	114435
2015	Deaths in October 2015	110805
2015	Deaths in November 2015	101929
2015	Deaths in December 2015	53007
2015	List of killings by law enforcement officers in the United States, 2015	106069
2015	List of offenders executed in the United States in 2015	42444
2015	List of members of the United States House of Representatives who died in 2015	3605
2015	Jamiluddin Aali	21031
2015	Willem Aantjes	5701
2015	Jane Aaron	2329
2015	Al Aarons	4204
2015	Abdelhamid Abaaoud	253572
2015	Khalid Hassan Abbas	504
2015	Mehmet Abbasoğlu	1221
2015	Robert K. Abbett	2303
2015	Peter Abbott	8528
2015	Sidney Abbott	2664
2015	Zulkifli Abdhir	17368
2015	Hashim Abdul Halim	8449
2015	Abdul Rauf Aliza	13577
2015	Abdul Razzak Abdul Wahid	243
2015	Abdullah bin Abdulaziz bin Musa'ed bin Jiluwi Al Saud	4619
2015	Abdullah Hussain (writer)	31
2015	Abdullah of Saudi Arabia	378950
2015	Abdulrahman bin Saad al-Shahrani	0
2015	B. S. Abdur Rahman	18692
2015	Suraj Abdurrahman	2044
2015	Georges Abi-Saber	1325
2015	Abdel Rahman el-Abnudi	3378
2015	Ben Abraham	2460
2015	Ivor Abrahams	0
2015	M. H. Abrams	42884
2015	Abu Saleh	0
2015	Abu Sayyaf (ISIL)	86081
2015	Abu Umar al-Tunisi	0
2015	Abu Zant	1154
2015	Antônio Abujamra	1760
2015	James Achurch	1154
2015	Sabino Acquaviva	3
2015	Amir Aczel	11013
2015	Hazel Adair	9736
2015	Abdikarim Yusuf Adam	7824
2015	Mihai Adam	4023
2015	Gregory H. Adamian	1674
2015	Alvin P. Adams Jr.	216
2015	Arlin M. Adams	3696
2015	Ashley Adams	14851
2015	Lisa Bonchek Adams	1958
2015	R. J. Adams	3294
2015	Sam Adams (Canadian football)	1046
2015	Sam Adams Sr.	715
2015	Edward Adeane	1884
2015	Adebowale Adefuye	3228
2015	Merv Adelson	17596
2015	Olusegun Adewoye	1007
2015	Govindrao Adik	1798
2015	Gaston Adjoukoua	769
2015	Patrick H. Adkins	1805
2015	Egon Adler	812
2015	Robert Adrian	111
2015	Jack Aeby	8699
2015	Eva Aeppli	2246
2015	Soshana Afroyim	2840
2015	Gole Afroz	650
2015	Aarthi Agarwal	147393
2015	Hiroyuki Agawa	4493
2015	Wilfred Agbonavbare	3284
2015	Ifeoma Aggrey-Fynn	2058
2015	Aliakbar Aghaei Moghanjoei	898
2015	Christophe Agou	5540
2015	Perro Aguayo Jr.	112079
2015	Mario Aguiñada Carranza	1139
2015	Manuel Agujetas	3495
2015	Ahmad Al-Saleh	0
2015	Ishtiaq Ahmad (fiction writer)	10672
2015	Jamal Uddin Ahmad	1366
2015	Nuriyya Ahmadova	0
2015	Afzaal Ahmed	1115
2015	Hocine Aït Ahmed	12452
2015	Novera Ahmed	2736
2015	Shahab Ahmed	0
2015	Syed Ahmed (politician)	20036
2015	Claire Aho	6802
2015	Jean Aicardi	2970
2015	Kinya Aikawa	2082
2015	Hisato Aikura	890
2015	Archibald Kennedy, 8th Marquess of Ailsa	4388
2015	Jessica Ainscough	16414
2015	Hasna Ait Boulahcen	1364
2015	Igwe Aja-Nwachukwu	2704
2015	Kalim Ajiz	1677
2015	Nael al-Ajlouni	749
2015	Andrzej Ajnenkiel	1641
2015	Craft Akard	787
2015	Miriam Akavia	2373
2015	Chantal Akerman	115649
2015	Gülten Akın	3351
2015	Willie Akins	1595
2015	Chakib Akrouh	0
2015	Moza Sultan Al Kaabi	4554
2015	Khaled al-Asaad	133730
2015	Saud al-Dosari	3539
2015	Death of Aftab Alam	170
2015	Diepreye Alamieyeseigha	43174
2015	Rico Alaniz	6868
2015	Arthur Lawrence Alarcon	24385
2015	Ahmad Alasgarov	1214
2015	Moustapha Alassane	1188
2015	Zeki Alasya	6183
2015	Frank Albanese	6888
2015	Giorgio Albani	0
2015	Michel Albert	1889
2015	Per Hjort Albertsen	242
2015	Barry Albin-Dyer	2330
2015	Ton Alblas	0
2015	Daniel Albright	3089
2015	Clayton Alderfer	12157
2015	Allen Aldridge (defensive end)	1082
2015	James Aldridge	5908
2015	Oleg Alekseev	820
2015	Andrew Alexander (journalist)	3864
2015	Claudia Alexander	37633
2015	Van Alexander	19985
2015	Alexandra Prinzessin von Hannover	5985
2015	Joseph Alfidi	2888
2015	Loek Alflen	1777
2015	Elizabeth Alfred	2509
2015	Jean Alfred	2550
2015	Gabriel Ålgård	0
2015	Bruce Alger	25389
2015	Ali Awni al-Harzi	0
2015	Ali Treki	7266
2015	Joy Ali	4341
2015	Karolyn Ali	3194
2015	Sheikh Razzak Ali	1355
2015	Tahira Mazhar Ali	1764
2015	Fikri Alican	0
2015	Ismael Alicea	629
2015	Mitch Aliotta	5387
2015	Habil Aliyev	6010
2015	Rakhat Aliyev	5893
2015	Rasim Aliyev	5098
2015	Sakit Aliyev	2988
2015	Mohammad Ali Allahdadi	5222
2015	Ian Allan (publisher)	5167
2015	Francis Allegra	2480
2015	Billie Allen	0
2015	Daevid Allen	22448
2015	Eric Allen (wide receiver)	4111
2015	Gene Allen	7273
2015	James H. Allen	6585
2015	John Allen (murderer)	0
2015	John Allen (priest)	1665
2015	Susan Allen (musician)	8559
2015	Louise Alley	2258
2015	Archie Alleyne	1340
2015	Topazia Alliata	497
2015	Malek Alloula	2675
2015	Zahran Alloush	76401
2015	Gilberto Almeida	1065
2015	Paul Almond	7868
2015	Peter Almqvist	1105
2015	Martin Alper	981
2015	Zafar Altaf	8787
2015	Carlos Anibal Altamirano Argüello	1366
2015	Çetin Altan	6809
2015	Guido Altarelli	8341
2015	Renato Altissimo	1462
2015	Carlos Álvarez-Nóvoa	6733
2015	Delfín Álvarez	0
2015	João Alves dos Santos	726
2015	Anton Amann	1479
2015	Takashi Amano	52230
2015	Moshe Amar	666
2015	Lars Amble	5998
2015	Paul Ambros	1222
2015	Hugh Ambrose	4228
2015	Gene Amdahl	32257
2015	Ameerjan	2874
2015	Samy Amimour	674
2015	Haron Amin	1761
2015	Philip Amm	5437
2015	Andal Ampatuan Sr.	1064
2015	Erik Amundsen	1059
2015	An Jun Can	6305
2015	Jagjit Singh Anand	1633
2015	Subhas Anandan	10992
2015	Deborah Anapol	5370
2015	Romeo Anaya	2032
2015	Abu Nabil al-Anbari	20187
2015	Mircea Anca	2528
2015	Benedict Anderson	92901
2015	Bob Anderson (baseball)	2097
2015	Brad Anderson (cartoonist)	33028
2015	Dale Anderson (ice hockey)	1863
2015	Doug Anderson (footballer, born 1963)	683
2015	Earl E. Anderson	8819
2015	Gladstone Anderson	5343
2015	Hugh Alan Anderson	619
2015	Jan Anderson (scientist)	1408
2015	Howard A. Anderson, Jr.	665
2015	Lennart Anderson	1699
2015	Lynn Anderson	322392
2015	Martin Anderson (economist)	4742
2015	Murphy Anderson	15343
2015	Stephen Milburn Anderson	3951
2015	Stig Andersson (cyclist)	458
2015	Marco Antonio Andino	1221
2015	Noboru Ando	8087
2015	George Andreadis	584
2015	Jacques Andreani	1830
2015	James H. Andreasen	1393
2015	Bjørn Andressen	0
2015	Sam Andrew	12609
2015	John "Tiny" Andrews	0
2015	Ralph Andrews	9425
2015	Ingrīda Andriņa	4416
2015	Joaquín Andújar	71234
2015	Andy Tyson	0
2015	Julio Angel	6130
2015	Gigi Angelillo	0
2015	Claudio Angelini	1057
2015	Paule Anglim	866
2015	John Angus (children's advocate)	648
2015	Lolita Aniyar de Castro	1151
2015	Boudjemaâ El Ankis	2321
2015	Comfort Annor	0
2015	Angelo Anquilletti	2226
2015	Nasser bin Ali al-Ansi	5718
2015	Sólveig Anspach	8829
2015	Richard Anthony (singer)	7996
2015	Michel Antoine	0
2015	Laura Antonelli	76776
2015	Paul Antrobus	0
2015	Ants Antson	8739
2015	Masahiko Aoki	4754
2015	Luis Delgado Aparicio	1019
2015	Ennio Appignanesi	1435
2015	Frank Pierpoint Appleby	1261
2015	Jay Appleton	3271
2015	Ray Appleton	4644
2015	Bob Appleyard	2678
2015	Franklin April	6674
2015	Butz Aquino	15291
2015	Naim Araidi	3518
2015	Jorgelina Aranda	1084
2015	Vicente Aranda	5624
2015	Jesús Arango Cano	0
2015	Helena Araújo	1422
2015	Cristiano Araújo	31577
2015	Fernando de Araújo (East Timorese politician)	4285
2015	Mala Aravindan	10713
2015	Ibrahim Sulayman Muhammad Arbaysh	5489
2015	Shoshana Arbeli-Almozlino	1708
2015	Al Arbour	85284
2015	Stacey Arceneaux	958
2015	Stuart Archer	1952
2015	Maurizio Arcieri	2747
2015	Tom Arden	5668
2015	Rugger Ardizoia	25789
2015	Zaur Ardzinba	762
2015	Niels Henrik Arendt	1543
2015	Abdul Wahid Aresar	1958
2015	Mitzura Arghezi	2640
2015	José Arias	993
2015	Frank Martinus Arion	3745
2015	Carlos María Ariz Bolea	828
2015	Arkady Arkanov	1601
2015	Armand (singer)	11824
2015	Armin, Prince of Lippe	10948
2015	Nazzal al-Armouti	565
2015	Bob Armstrong (politician)	965
2015	Doug Armstrong (broadcaster)	754
2015	Norm Armstrong (footballer)	1275
2015	David Armytage	509
2015	Idriss Arnaoud Ali	1115
2015	Tor Arneberg	1008
2015	Elena Arnedo	1640
2015	Ray Arnett	2214
2015	Ann Arnold	1354
2015	Denis Edward Arnold	878
2015	Stuart Arnold	0
2015	Christine Arnothy	3286
2015	Bill Arnsparger	26591
2015	David Aronson	5163
2015	Ceferino Arroyo	0
2015	Ayla Arslancan	1560
2015	Florence Arthaud	12419
2015	Arthit Kamlang-ek	1896
2015	George Arthur (Ghanaian footballer)	1412
2015	Sergei Artsibashev	0
2015	Naseer Aruri	2199
2015	Younes Asakere	610
2015	David Ashby (speedway rider)	1029
2015	Kerry Ashby	916
2015	Kane Ashcroft	4883
